1-1-02-016,637500,0,BT   N-186 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21711120,BT ,186,09/11/2021,09/11/2021,BT ,186,,0,637500,0,0,0,0,0,0,0,637500,S
3-1-01-030,0,637500,BT   N-186 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,636480,0,BT   N-187 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21588534,BT ,187,09/11/2021,09/11/2021,BT ,187,,0,636480,0,0,0,0,0,0,0,636480,S
3-1-01-030,0,636480,BT   N-187 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,663000,0,BT   N-188 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21691851,BT ,188,09/11/2021,09/11/2021,BT ,188,,0,663000,0,0,0,0,0,0,0,663000,S
3-1-01-030,0,663000,BT   N-188 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,663000,0,BT   N-189 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21684066,BT ,189,09/11/2021,09/11/2021,BT ,189,,0,663000,0,0,0,0,0,0,0,663000,S
3-1-01-030,0,663000,BT   N-189 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,663000,0,BT   N-190 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21660297,BT ,190,09/11/2021,09/11/2021,BT ,190,,0,663000,0,0,0,0,0,0,0,663000,S
3-1-01-030,0,663000,BT   N-190 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,643110,0,BT   N-191 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21527082,BT ,191,09/11/2021,09/11/2021,BT ,191,,0,643110,0,0,0,0,0,0,0,643110,S
3-1-01-030,0,643110,BT   N-191 VDE COLEGIO LA CRUZ FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2200,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-192 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21454602,BT ,192,09/11/2021,09/11/2021,BT ,192,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-192 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-193 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,25878477,BT ,193,09/11/2021,09/11/2021,BT ,193,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-193 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-194 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21780311,BT ,194,09/11/2021,09/11/2021,BT ,194,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-194 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-195 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21454955,BT ,195,09/11/2021,09/11/2021,BT ,195,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-195 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,190000,0,BT   N-196 CEAL - CIUDADELA_CDD,2,1,0,,,,,,0,,0,,,0,21730161,BT ,196,09/11/2021,09/11/2021,BT ,196,,0,190000,0,0,0,0,0,0,0,190000,S
3-1-01-030,0,190000,BT   N-196 CEAL - CIUDADELA_CDD,2,0,1,,,,,,0,V-E-2206,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
